isbn,title,author,publicationyear,bookimage,numpages,rating,genre,bookurl,language,price,,,,,,,
1564026523,The Candlewick Book of Bedtime Stories,Candlewick Press,1995,http://images.amazon.com/images/P/1564026523.01.LZZZZZZZ.jpg,93,3.31,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,3.03,,,,,,,
1878257447,Watercolor for the Artistically Undiscovered,Thacher Hurd,1992,http://images.amazon.com/images/P/1878257447.01.LZZZZZZZ.jpg,72,4.4,Non Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,9.17,,,,,,,
8845230457,Il Piccolo Principe,Antoine De Saint-Exupery,2002,http://images.amazon.com/images/P/8845230457.01.LZZZZZZZ.jpg,128,4.31,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.17,,,,,,,
1570540810,Coin Magic,Klutz Press,1997,http://images.amazon.com/images/P/1570540810.01.LZZZZZZZ.jpg,62,3.6,Non Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.98,,,,,,,
1582460426,Splash!: A Penguin Counting Book,Jonathan Chester,2000,http://images.amazon.com/images/P/1582460426.01.LZZZZZZZ.jpg,24,3.16,Non Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,8.87,,,,,,,
1582600031,To Pee or Not to Pee (All by Myself Books),Linda Johns,1998,http://images.amazon.com/images/P/1582600031.01.LZZZZZZZ.jpg,16,5,Non Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,10.74,,,,,,,
074602083X,The Usborne Book of Batteries &amp; Magnets (How to Make Series),Paula Borton,1995,http://images.amazon.com/images/P/074602083X.01.LZZZZZZZ.jpg,32,2,Non Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,9.17,,,,,,,
8845229041,Biblioteca Universale Rizzoli: Sulla Sponda Del Fiume Piedra,P Coelho,0,http://images.amazon.com/images/P/8845229041.01.LZZZZZZZ.jpg,216,3.57,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.34,,,,,,,
034545281X,The Pig Who Sang to the Moon : The Emotional World of Farm Animals,JEFFREY MOUSSAIEFF MASSON,2003,http://images.amazon.com/images/P/034545281X.01.LZZZZZZZ.jpg,304,4.04,Travel & Nature,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,10.36,,,,,,,
015204731X,The Borrowers Avenged,Mary Norton,2003,http://images.amazon.com/images/P/015204731X.01.LZZZZZZZ.jpg,304,3.96,Fiction,https://itp-bookmart.s3.ap-southeast-2.amazonaws.com/book/pg66654-images.epub,English,14.34,,,,,,,
